"DateTime","grid (26) (kw)","grid (27) (kw)","grid (43) (kw)","grid (59) (kw)","grid (77) (kw)","grid (86) (kw)","grid (93) (kw)","grid (94) (kw)","grid (101) (kw)","grid (114) (kw)","grid (142) (kw)","grid (145) (kw)","grid (153) (kw)","grid (171) (kw)"
"2019-05-01 00:00:00",0.265,0.997,0.395,0.637,11.448,0.45,0.289,0.246,0.594,0.944,0.785,0.225,3.198,2.795
"2019-05-01 00:15:00",2.02,0.75,0.394,0.6,11.52,0.374,0.262,0.199,0.478,1.118,0.839,0.126,3.23,2.867
"2019-05-01 00:30:00",1.045,0.608,0.309,0.529,10.693,0.366,0.337,0.211,0.414,0.654,0.909,0.108,3.182,2.938
"2019-05-01 00:45:00",0.287,1.057,0.441,0.6,11.409,0.366,0.324,0.201,0.612,1.223,0.846,0.157,3.242,2.908
"2019-05-01 01:00:00",0.436,0.518,0.778,0.611,11.693,0.424,0.253,0.449,0.386,0.999,0.792,0.086,3.17,2.801
"2019-05-01 01:15:00",0.32,1.163,0.603,0.754,11.139,0.482,0.29,0.42,0.702,0.362,0.796,0.18,3.251,2.912
"2019-05-01 01:30:00",0.322,0.591,0.426,0.67,10.776,0.472,0.335,0.294,0.226,0.973,0.913,0.187,3.159,1.225
"2019-05-01 01:45:00",0.317,1.155,0.415,0.831,11.59,0.468,0.279,0.329,0.668,0.85,0.906,0.098,3.255,1.19
"2019-05-01 02:00:00",2.053,0.84,0.411,0.663,11.845,0.423,0.25,0.341,0.252,0.24,0.794,0.094,3.149,0.35
"2019-05-01 02:15:00",1.373,0.697,0.407,0.618,11.164,0.367,0.329,0.31,0.762,0.897,0.846,0.163,3.29,0.899
"2019-05-01 02:30:00",0.429,1.049,0.405,0.664,3.826,0.363,0.313,0.329,0.241,0.947,0.904,0.12,2.233,0.395
"2019-05-01 02:45:00",0.239,0.514,0.404,0.54,1.968,0.365,0.25,0.298,0.664,0.392,0.983,0.131,1.769,0.943
"2019-05-01 03:00:00",0.234,1.145,0.402,0.578,2.016,0.483,0.286,0.314,0.233,0.949,0.823,0.08,3.267,0.257
"2019-05-01 03:15:00",2.069,0.534,0.402,0.537,1.618,0.482,0.331,0.309,0.716,0.634,0.784,0.132,1.693,0.296
"2019-05-01 03:30:00",1.197,1.047,0.401,0.499,1.384,0.465,0.271,0.321,0.326,0.556,0.818,0.246,1.608,0.397
"2019-05-01 03:45:00",0.35,0.695,0.4,0.676,2.002,0.463,0.25,0.279,0.663,0.232,0.829,0.079,2.444,0.365
"2019-05-01 04:00:00",0.296,0.985,0.399,0.616,1.93,0.379,0.329,0.29,0.223,0.336,1.309,0.177,0.872,0.255
"2019-05-01 04:15:00",0.325,0.818,0.398,0.596,1.5,0.363,0.311,0.18,0.673,0.925,1.011,0.066,2.162,0.322
"2019-05-01 04:30:00",0.39,1.001,0.31,0.617,1.48,2.626,0.249,0.218,0.321,0.355,0.861,0.088,1.712,0.394
"2019-05-01 04:45:00",0.402,0.98,0.348,0.616,1.932,0.393,0.291,0.189,0.753,0.355,0.841,0.137,1.914,0.375
"2019-05-01 05:00:00",0.448,1.032,0.398,0.676,1.919,0.457,0.33,0.221,0.22,0.353,0.929,0.237,1.946,0.259
"2019-05-01 05:15:00",1.729,0.944,0.397,0.551,0.954,0.461,0.266,0.312,0.668,0.362,0.939,0.3,1.725,0.27
"2019-05-01 05:30:00",1.545,1.732,0.452,0.491,1.954,0.453,0.249,0.329,0.221,0.34,1.318,0.172,1.594,0.631
"2019-05-01 05:45:00",0.313,1.581,0.833,0.602,1.871,0.577,0.344,0.281,0.75,0.348,1.627,0.075,1.859,0.867
"2019-05-01 06:00:00",0.284,1.292,1.104,0.514,1.084,1.666,0.33,0.32,0.246,0.292,1.494,0.739,1.932,0.449
"2019-05-01 06:15:00",0.291,1.436,1.297,0.694,1.937,2.719,0.275,0.278,0.594,0.364,1.642,0.518,0.91,0.394
"2019-05-01 06:30:00",0.345,1.273,0.829,0.753,1.078,0.747,0.404,0.287,0.233,0.359,1.042,0.51,2.367,0.536
"2019-05-01 06:45:00",0.427,1.55,0.779,0.694,2.472,0.786,0.37,0.176,0.687,0.357,0.908,0.395,1.028,0.635
"2019-05-01 07:00:00",0.569,0.812,0.712,1.187,2.579,0.717,0.309,0.221,0.335,1.121,0.781,0.519,2.237,0.873
"2019-05-01 07:15:00",0.754,0.835,0.674,1.2,1.258,0.533,0.392,0.217,0.732,0.775,0.768,0.613,1.519,0.893
"2019-05-01 07:30:00",4.583,0,0.561,0.878,1.127,0.64,0.486,0.374,0.237,0.763,0.866,0.482,1.222,0.452
"2019-05-01 07:45:00",1.975,0.296,0.569,0.891,1.13,0.682,0.494,0.209,0.682,1.648,0.762,0.371,0.418,0.553
"2019-05-01 08:00:00",0.429,-0.413,0.328,0.775,1.281,1.473,0.338,0.478,0.257,3.157,0.736,0.392,0.634,0.241
"2019-05-01 08:15:00",0.272,-0.475,0.003,0.966,2.173,1.982,0.266,0.424,0.796,2.35,0.546,0.354,0.569,0.062
"2019-05-01 08:30:00",0.077,-1.452,0.003,1.131,8.482,1.922,0.301,0.451,0.261,1.458,0.504,0.404,0.752,0.117
"2019-05-01 08:45:00",0.061,-1.24,-0.132,1.285,8.378,1.917,0.248,0.592,0.696,0.961,0.391,0.354,0.776,0.107
"2019-05-01 09:00:00",0.101,-1.421,-0.213,1.148,8.479,1.916,0.197,0.649,0.218,0.198,0.388,0.293,0.836,0.059
"2019-05-01 09:15:00",-0.09,-1.326,-0.08,1.21,8.39,3.72,0.242,0.615,0.723,0.03,0.117,0.349,0.832,-0.237
"2019-05-01 09:30:00",-0.312,-2.102,-0.804,1.318,8.234,3.884,0.075,0.649,0.316,-0.103,-0.063,0.479,1.007,-0.472
"2019-05-01 09:45:00",-0.154,-1.701,-0.838,1.547,8.308,3.869,-0.118,0.591,0.722,0.055,-0.118,0.38,1.05,-0.215
"2019-05-01 10:00:00",-0.325,-2.053,-1.603,4.49,8.131,3.696,-0.013,0.574,0.232,-0.109,-0.092,0.471,1.198,-0.519
"2019-05-01 10:15:00",-1.262,-1.738,-0.706,8.143,7.792,3.56,-0.06,0.506,0.635,-0.631,-0.385,0.376,1.245,-1.284
"2019-05-01 10:30:00",-1.064,-3.207,-1.021,5.749,7.875,3.553,-0.87,0.567,0.18,-0.641,-0.465,0.327,-0.166,-1.235
"2019-05-01 10:45:00",-0.686,-3.52,-1.148,4.949,7.841,3.554,-0.895,0.504,0.717,-0.61,-0.997,0.28,-0.698,-1.084
"2019-05-01 11:00:00",-1.212,-3.698,-1.222,3.513,7.713,1.718,-0.991,0.647,0.14,-0.655,-1.607,0.345,-0.082,-1.258
"2019-05-01 11:15:00",-1.324,-2.788,-1.216,3.284,7.716,0.355,-0.753,0.617,0.624,-0.69,-1.853,0.378,-0.262,-1.44
"2019-05-01 11:30:00",-0.746,-3.858,-2.401,4.509,8.003,0.354,-0.757,0.776,0.137,-0.298,-2.285,0.312,-0.384,-0.876
"2019-05-01 11:45:00",-0.974,-4.877,-3.053,2.831,7.675,0.354,-1.981,1.114,0.682,-0.633,-1.914,0.344,-0.668,-1.244
"2019-05-01 12:00:00",-1.41,-5.817,-1.284,3.063,7.497,0.355,-1.189,0.652,0.228,-0.886,-3.274,0.395,-1.101,-1.766
"2019-05-01 12:15:00",-1.914,-7.656,-1.865,3.104,7.304,0.438,-0.859,0.572,0.688,-1.044,-3.577,0.274,-1.635,-2.024
"2019-05-01 12:30:00",-1.272,-9.957,-1.354,2.776,7.744,0.457,-0.5,0.623,0.382,-0.591,-3.747,0.401,2.073,-0.748
"2019-05-01 12:45:00",-1.81,-10.6,-2.659,1.435,2.593,0.445,-0.153,0.594,0.399,-1.088,-3.801,0.348,-0.972,-1.31
"2019-05-01 13:00:00",-1.209,-10.582,-3.336,1.095,0.078,0.441,-0.706,0.604,0.656,-0.837,-3.774,0.309,1.526,-1.397
"2019-05-01 13:15:00",-1.955,-10.129,-3.253,0.959,-0.251,0.442,-2.155,0.537,0.338,-1.274,-3.647,0.748,-1.523,-1.753
"2019-05-01 13:30:00",-1.33,-9.17,-3.871,1.027,0.985,0.442,-1.299,0.466,0.753,-0.777,-3.648,0.409,1.241,-0.59
"2019-05-01 13:45:00",-0.957,-5.751,-3.684,0.883,0.91,0.446,-0.737,0.252,0.167,-0.601,-3.116,0.373,-0.803,-0.702
"2019-05-01 14:00:00",-1.043,-7.786,-3.472,0.889,0.669,0.668,-0.753,0.29,1.363,-0.603,-2.263,0.288,0.986,-0.574
"2019-05-01 14:15:00",-0.283,-5.065,-1.998,0.839,1.865,0.769,-0.365,0.251,0.849,-0.066,-0.74,0.761,0.414,1.311
"2019-05-01 14:30:00",-0.04,-3.296,-2.094,0.794,2.12,0.379,0.017,0.412,0.316,0.128,-0.648,1.378,-0.054,-0.131
"2019-05-01 14:45:00",-0.324,-0.244,-3.132,1.084,1.455,0.499,-0.377,0.352,0.762,-0.133,-0.856,0.72,2.414,0.282
"2019-05-01 15:00:00",-1.785,-1.53,-3.105,1.582,0.373,0.517,-1.284,0.377,0.304,-1.158,-0.907,0.377,-1.381,0.45
"2019-05-01 15:15:00",-1.935,-3.248,-3.278,1.195,1.2,0.506,-1.081,0.338,0.661,-1.084,-0.856,0.215,-0.239,0.269
"2019-05-01 15:30:00",-0.846,-3.646,-1.361,1.27,2.087,1.852,-0.134,0.312,0.884,-0.477,-0.352,0.192,-0.812,1.389
"2019-05-01 15:45:00",-1.175,-2.949,-0.206,1.262,0.408,3.499,-0.24,0.244,0.15,-0.648,-0.163,0.059,-1.152,1.089
"2019-05-01 16:00:00",-0.289,-2.135,0.025,1.283,3.757,3.489,-1.412,0.278,0.765,-0.24,0.128,0.075,-0.34,2.241
"2019-05-01 16:15:00",-0.426,-1.552,0.314,1.367,2.471,3.539,-0.004,0.245,0.625,-0.501,0.281,0.167,0.45,1.359
"2019-05-01 16:30:00",3.2,-1.427,0.237,1.259,3.756,3.459,-0.113,0.521,0.333,-0.136,0.309,0.088,1.676,2.257
"2019-05-01 16:45:00",3.543,-1.029,0.611,1.293,3.33,2.152,-0.231,0.533,0.839,0.098,0.375,0.059,1.424,2.746
"2019-05-01 17:00:00",3.261,-0.762,0.778,1.493,4.15,3.136,0.219,0.305,0.712,0.066,0.458,0.346,1.108,2.489
"2019-05-01 17:15:00",2.515,-0.314,0.718,1.086,3.768,1.119,0.026,0.435,0.25,-0.119,0.629,1.318,0.695,1.643
"2019-05-01 17:30:00",0.623,-0.13,0.833,1.105,4.247,4.482,0.019,0.451,0.807,-0.032,0.742,1.032,0.388,2.373
"2019-05-01 17:45:00",-0.568,0.252,0.707,1.244,3.567,2.741,-0.066,0.48,0.976,1.764,0.88,0.662,1.759,0.262
"2019-05-01 18:00:00",0.084,0.717,0.709,0.959,4.145,3.814,-0.113,0.439,0.389,1.192,0.794,0.37,0.633,2.24
"2019-05-01 18:15:00",0.13,0.552,0.753,1.149,4.012,0.878,0.057,0.409,0.649,1.114,0.809,0.398,-0.118,1.809
"2019-05-01 18:30:00",0.108,0.608,0.8,0.947,3.987,0.719,0.041,1.033,0.857,1.452,1.081,0.388,2.552,1.91
"2019-05-01 18:45:00",0.275,1.246,0.814,0.91,4.235,0.756,0.039,0.406,0.633,1.61,1.058,0.537,0.221,1.681
"2019-05-01 19:00:00",0.231,0.697,0.883,0.914,4.351,0.756,0.308,0.417,0.632,2.68,0.917,0.51,0.05,1.851
"2019-05-01 19:15:00",2.279,1.001,0.928,1.091,4.605,3.286,0.372,0.824,1.306,2.018,1.075,0.477,2.979,2.076
"2019-05-01 19:30:00",1.9,0.677,0.991,1.04,2.839,0.675,0.408,1.872,0.83,2.82,1.162,0.373,0.268,2.624
"2019-05-01 19:45:00",4.24,1.143,0.936,1.067,4.145,2.542,0.567,1.951,1.42,2.889,1.263,0.363,0.146,1.815
"2019-05-01 20:00:00",5.032,0.701,0.872,1.04,3.56,3.502,0.88,1.9,1.35,2.868,1.03,0.725,0.208,2.784
"2019-05-01 20:15:00",4.074,1.02,0.956,0.852,4.329,1.101,4.023,1.902,1.308,2.823,1.148,0.708,0.119,1.011
"2019-05-01 20:30:00",3.695,0.548,1.083,0.923,4.279,3.526,3.258,2.093,1.298,3.132,1.106,0.515,0.227,2.471
"2019-05-01 20:45:00",1.883,1.109,1.327,0.925,4.292,0.798,0.482,2.051,1.317,3.079,1.194,0.471,2.031,1.367
"2019-05-01 21:00:00",1.455,0.532,1.707,0.796,4.319,3.512,3.96,2.047,1.394,2.842,1.118,0.449,3.412,3.307
