,dataid,city,state
0,2836,Austin,Texas
1,2743,Austin,Texas
2,5323,Austin,Texas
3,8560,Austin,Texas
4,3313,Austin,Texas
5,5052,Austin,Texas
6,3936,Austin,Texas
7,1622,Austin,Texas
8,1114,Austin,Texas
9,5433,Austin,Texas
10,1101,Austin,Texas
11,8872,Austin,Texas
12,1464,Austin,Texas
13,3824,Austin,Texas
14,78,Austin,Texas
15,8047,Austin,Texas
16,5839,Austin,Texas
17,1050,Austin,Texas
18,8597,Austin,Texas
19,7982,Austin,Texas
20,7057,Austin,Texas
21,3192,Austin,Texas
22,1790,Austin,Texas
23,3577,Austin,Texas
24,8890,Austin,Texas
25,6830,Austin,Texas
26,2575,Austin,Texas
27,5785,Austin,Texas
28,3544,Austin,Texas
29,1800,Austin,Texas
30,5193,Austin,Texas
31,4447,Austin,Texas
32,2638,Austin,Texas
33,2337,Austin,Texas
34,6423,Austin,Texas
35,4590,Austin,Texas
36,1801,Austin,Texas
37,18,Austin,Texas
38,35,Austin,Texas
39,114,Austin,Texas
40,370,Austin,Texas
41,545,Austin,Texas
42,585,Austin,Texas
43,661,Austin,Texas
44,744,Austin,Texas
45,964,Austin,Texas
46,1185,Austin,Texas
47,1192,Austin,Texas
48,1463,Austin,Texas
49,1642,Austin,Texas
50,1718,Austin,Texas
51,1852,Austin,Texas
52,2018,Austin,Texas
53,2129,Austin,Texas
54,2233,Austin,Texas
55,2335,Austin,Texas
56,2345,Austin,Texas
57,2461,Austin,Texas
58,2645,Austin,Texas
59,2653,Austin,Texas
60,2814,Austin,Texas
61,2818,Austin,Texas
62,2859,Austin,Texas
63,2945,Austin,Texas
64,3009,Austin,Texas
65,3039,Austin,Texas
66,3456,Austin,Texas
67,3482,Austin,Texas
68,3739,Austin,Texas
69,3918,Austin,Texas
70,3967,Austin,Texas
71,4031,Austin,Texas
72,4228,Austin,Texas
73,4336,Austin,Texas
74,4421,Austin,Texas
75,4671,Austin,Texas
76,4726,Austin,Texas
77,4767,Austin,Texas
78,4998,Austin,Texas
79,5275,Austin,Texas
80,5403,Austin,Texas
81,5545,Austin,Texas
82,5972,Austin,Texas
83,6836,Austin,Texas
84,6990,Austin,Texas
85,7024,Austin,Texas
86,7036,Austin,Texas
87,7113,Austin,Texas
88,7504,Austin,Texas
89,7536,Austin,Texas
90,7680,Austin,Texas
91,7731,Austin,Texas
92,7940,Austin,Texas
93,8084,Austin,Texas
94,8236,Austin,Texas
95,8317,Austin,Texas
96,8767,Austin,Texas
97,8829,Austin,Texas
98,9121,Austin,Texas
99,9134,Austin,Texas
100,9160,Austin,Texas
101,9237,Austin,Texas
102,9729,Austin,Texas
103,5524,Austin,Texas
104,583,Austin,Texas
105,4922,Austin,Texas
106,1994,Austin,Texas
107,8188,Austin,Texas
108,9343,Austin,Texas
109,6941,Austin,Texas
110,624,Austin,Texas
111,2156,Austin,Texas
112,1953,Austin,Texas
113,8092,Austin,Texas
114,2004,Austin,Texas
115,2953,Austin,Texas
116,3531,Austin,Texas
117,4220,Austin,Texas
118,990,Austin,Texas
119,1600,Austin,Texas
120,2199,Austin,Texas
121,2365,Austin,Texas
122,2378,Austin,Texas
123,2749,Austin,Texas
124,2787,Austin,Texas
125,4298,Austin,Texas
126,4395,Austin,Texas
127,5026,Austin,Texas
128,5035,Austin,Texas
129,5806,Austin,Texas
130,5968,Austin,Texas
131,6180,Austin,Texas
132,7335,Austin,Texas
133,7390,Austin,Texas
134,7788,Austin,Texas
135,7809,Austin,Texas
136,7951,Austin,Texas
137,8142,Austin,Texas
138,8332,Austin,Texas
139,9699,Austin,Texas
140,3570,Austin,Texas
141,7454,Austin,Texas
142,5077,Austin,Texas
143,2094,Austin,Texas
144,4302,Austin,Texas
145,8626,Austin,Texas
146,9631,Austin,Texas
147,2305,Austin,Texas
148,7016,Austin,Texas
149,6643,Austin,Texas
150,9509,Austin,Texas
151,5615,Austin,Texas
152,890,Austin,Texas
153,7429,Austin,Texas
154,5892,Austin,Texas
155,4357,Austin,Texas
156,171,Austin,Texas
157,8967,Austin,Texas
158,5439,Austin,Texas
159,3256,Austin,Texas
160,6493,Austin,Texas
161,7683,Austin,Texas
162,9927,Austin,Texas
163,3724,Austin,Texas
164,9925,Austin,Texas
165,7488,Austin,Texas
166,8719,Austin,Texas
167,3834,Austin,Texas
168,9930,Austin,Texas
169,2062,Austin,Texas
170,9923,Austin,Texas
171,4251,Austin,Texas
172,900,Austin,Texas
173,8600,Austin,Texas
174,8741,Austin,Texas
175,4154,Austin,Texas
176,936,Austin,Texas
177,2829,Austin,Texas
178,3109,Austin,Texas
179,6910,Austin,Texas
180,9654,Austin,Texas
181,6636,Austin,Texas
182,9933,Austin,Texas
183,5874,Austin,Texas
184,484,Austin,Texas
185,6673,Austin,Texas
186,739,Austin,Texas
187,7866,Austin,Texas
188,2171,Austin,Texas
189,9766,Austin,Texas
190,2864,Austin,Texas
191,9019,Austin,Texas
192,5810,Austin,Texas
193,9935,Austin,Texas
194,1314,Austin,Texas
195,9919,Austin,Texas
196,9938,Austin,Texas
197,86,Austin,Texas
198,93,Austin,Texas
199,94,Austin,Texas
200,103,Austin,Texas
201,410,Austin,Texas
202,748,Austin,Texas
203,871,Austin,Texas
204,898,Austin,Texas
205,1334,Austin,Texas
206,1589,Austin,Texas
207,1714,Austin,Texas
208,1796,Austin,Texas
209,2149,Austin,Texas
210,2158,Austin,Texas
211,3342,Austin,Texas
212,3778,Austin,Texas
213,3831,Austin,Texas
214,4141,Austin,Texas
215,5218,Austin,Texas
216,5292,Austin,Texas
217,5371,Austin,Texas
218,5746,Austin,Texas
219,5949,Austin,Texas
220,6088,Austin,Texas
221,6139,Austin,Texas
222,6246,Austin,Texas
223,6394,Austin,Texas
224,6730,Austin,Texas
225,6794,Austin,Texas
226,6827,Austin,Texas
227,7161,Austin,Texas
228,7361,Austin,Texas
229,7531,Austin,Texas
230,7589,Austin,Texas
231,7769,Austin,Texas
232,7989,Austin,Texas
233,8031,Austin,Texas
234,8268,Austin,Texas
235,8399,Austin,Texas
236,9356,Austin,Texas
237,9499,Austin,Texas
238,9609,Austin,Texas
239,9643,Austin,Texas
240,9727,Austin,Texas
241,9737,Austin,Texas
242,9867,Austin,Texas
243,9915,Austin,Texas
244,9916,Austin,Texas
245,9917,Austin,Texas
246,9920,Austin,Texas
247,9921,Austin,Texas
248,9922,Austin,Texas
249,9926,Austin,Texas
250,9929,Austin,Texas
251,9932,Austin,Texas
252,9934,Austin,Texas
253,9936,Austin,Texas
254,9937,Austin,Texas
255,9939,Austin,Texas
256,9940,Austin,Texas
257,9941,Austin,Texas
258,9942,Austin,Texas
259,8160,Austin,Texas
260,1547,Austin,Texas
261,5002,Austin,Texas
262,3198,Austin,Texas
263,9969,Austin,Texas
264,5438,Austin,Texas
265,9451,Austin,Texas
266,9277,Austin,Texas
267,6545,Austin,Texas
268,1630,Austin,Texas
269,7243,Austin,Texas
270,1782,Austin,Texas
271,3964,Austin,Texas
272,7240,Austin,Texas
273,555,Austin,Texas
274,1601,Austin,Texas
275,1153,Austin,Texas
276,4135,Austin,Texas
277,6871,Austin,Texas
278,8852,Austin,Texas
279,3224,Austin,Texas
280,121,Austin,Texas
281,861,Austin,Texas
282,364,Austin,Texas
283,5817,Austin,Texas
284,9773,Austin,Texas
285,4505,Austin,Texas
286,7863,Austin,Texas
287,9600,Austin,Texas
288,2742,Austin,Texas
289,6266,Austin,Texas
290,8669,Austin,Texas
291,8155,Austin,Texas
292,2755,Austin,Texas
293,3367,Austin,Texas
294,1403,Austin,Texas
295,1697,Austin,Texas
296,4297,Austin,Texas
297,7560,Austin,Texas
298,2965,Austin,Texas
299,3527,Austin,Texas
300,9982,Austin,Texas
301,187,Austin,Texas
302,252,Austin,Texas
303,1103,Austin,Texas
304,1169,Austin,Texas
305,1283,Austin,Texas
306,1415,Austin,Texas
307,1792,Austin,Texas
308,2449,Austin,Texas
309,2470,Austin,Texas
310,2792,Austin,Texas
311,2925,Austin,Texas
312,2980,Austin,Texas
313,2986,Austin,Texas
314,3134,Austin,Texas
315,3538,Austin,Texas
316,3635,Austin,Texas
317,3719,Austin,Texas
318,3723,Austin,Texas
319,3935,Austin,Texas
320,4193,Austin,Texas
321,4373,Austin,Texas
322,4526,Austin,Texas
323,4732,Austin,Texas
324,4743,Austin,Texas
325,5129,Austin,Texas
326,5246,Austin,Texas
327,5395,Austin,Texas
328,5484,Austin,Texas
329,5738,Austin,Texas
330,5796,Austin,Texas
331,5921,Austin,Texas
332,6473,Austin,Texas
333,6578,Austin,Texas
334,6685,Austin,Texas
335,7108,Austin,Texas
336,7460,Austin,Texas
337,7627,Austin,Texas
338,7682,Austin,Texas
339,7739,Austin,Texas
340,7741,Austin,Texas
341,7800,Austin,Texas
342,7813,Austin,Texas
343,7850,Austin,Texas
344,7900,Austin,Texas
345,7919,Austin,Texas
346,7965,Austin,Texas
347,8156,Austin,Texas
348,8386,Austin,Texas
349,8467,Austin,Texas
350,9052,Austin,Texas
351,9620,Austin,Texas
352,9971,Austin,Texas
353,1508,Austin,Texas
354,3632,Austin,Texas
355,6498,Austin,Texas
356,1632,Austin,Texas
357,3392,Austin,Texas
358,5210,Austin,Texas
359,991,Austin,Texas
360,7856,Austin,Texas
361,6979,Austin,Texas
362,6112,Austin,Texas
363,7794,Austin,Texas
364,7117,Austin,Texas
365,8059,Austin,Texas
366,8956,Austin,Texas
367,9248,Austin,Texas
368,77,Austin,Texas
369,1413,Austin,Texas
370,1791,Austin,Texas
371,1947,Austin,Texas
372,2072,Austin,Texas
373,3301,Austin,Texas
374,3849,Austin,Texas
375,4029,Austin,Texas
376,4352,Austin,Texas
377,4356,Austin,Texas
378,4514,Austin,Texas
379,5131,Austin,Texas
380,7566,Austin,Texas
381,7767,Austin,Texas
382,8086,Austin,Texas
383,8419,Austin,Texas
384,8911,Austin,Texas
385,9278,Austin,Texas
386,7304,Austin,Texas
387,285,Austin,Texas
388,4874,Austin,Texas
389,5677,Austin,Texas
390,7641,Austin,Texas
391,946,Austin,Texas
392,1473,Austin,Texas
393,6773,Austin,Texas
394,6524,Austin,Texas
395,3146,Austin,Texas
396,7510,Austin,Texas
397,4641,Austin,Texas
398,8292,Austin,Texas
399,9849,Austin,Texas
400,9830,Austin,Texas
401,7881,Austin,Texas
402,6826,Austin,Texas
403,1042,Austin,Texas
404,417,Austin,Texas
405,2615,Austin,Texas
406,4187,Austin,Texas
407,6182,Austin,Texas
408,9875,Austin,Texas
409,6121,Austin,Texas
410,1556,Austin,Texas
411,4092,Austin,Texas
412,4946,Austin,Texas
413,9944,Austin,Texas
414,1619,Austin,Texas
415,8197,Austin,Texas
416,4957,Austin,Texas
417,3500,Austin,Texas
418,5357,Austin,Texas
419,9613,Austin,Texas
420,4213,Austin,Texas
421,3235,Austin,Texas
422,2946,Austin,Texas
423,9141,Austin,Texas
424,2242,Austin,Texas
425,4575,Austin,Texas
426,2974,Austin,Texas
427,5568,Austin,Texas
428,3036,Austin,Texas
429,5164,Austin,Texas
430,520,Austin,Texas
431,1681,Austin,Texas
432,3829,Austin,Texas
433,7419,Austin,Texas
434,9771,Austin,Texas
435,8079,Austin,Texas
436,5814,Austin,Texas
437,9474,Austin,Texas
438,6692,Austin,Texas
439,580,Austin,Texas
440,5636,Austin,Texas
441,9701,Austin,Texas
442,26,Austin,Texas
443,5412,Austin,Texas
444,6072,Austin,Texas
445,160,Austin,Texas
446,9578,Austin,Texas
447,8703,Austin,Texas
448,9484,Austin,Texas
449,2769,Austin,Texas
450,434,Austin,Texas
451,8071,Austin,Texas
452,6418,Austin,Texas
453,3504,Austin,Texas
454,222,Austin,Texas
455,773,Austin,Texas
456,1507,Austin,Texas
457,2034,Austin,Texas
458,3893,Austin,Texas
459,6407,Austin,Texas
460,6412,Austin,Texas
461,7287,Austin,Texas
462,9295,Austin,Texas
463,9639,Austin,Texas
464,1551,Austin,Texas
465,1086,Austin,Texas
466,2641,Austin,Texas
467,5209,Austin,Texas
468,6576,Austin,Texas
469,7319,Austin,Texas
470,7901,Austin,Texas
471,6101,Austin,Texas
472,7096,Georgetown,Texas
473,7674,Austin,Texas
474,3805,Austin,Texas
475,5102,Austin,Texas
476,4252,Austin,Texas
477,8565,Austin,Texas
478,1518,Austin,Texas
479,2647,Austin,Texas
480,6103,Austin,Texas
481,5109,Austin,Texas
482,7017,Austin,Texas
483,7281,Dallas,Texas
484,1644,Dallas,Texas
485,4686,Houston,Texas
